Student_ID,Age,Gender,Region,Attendance,Exam_Marks,Income_Category,Distance_to_School,Digital_Access,Scholarship,Teacher_Student_Ratio,Previous_Dropout,Dropout_Risk
S037,13,Female,Urban,82.0,45.9,Low,8.7,No,Yes,36.3,No,Medium
S038,15,Male,Rural,82.6,85.2,High,6.7,Yes,No,31.2,No,Low
S039,15,Female,Rural,56.3,35.8,Medium,5.2,Yes,No,38.8,No,High
S040,18,Male,Urban,83.6,100.0,Low,12.7,No,No,20.4,No,High
S041,17,Female,Rural,100.0,58.9,Medium,2.6,Yes,Yes,24.3,No,Low
S042,17,Male,Rural,82.0,47.6,Medium,6.7,Yes,Yes,42.3,No,Medium
S043,18,Female,Urban,49.5,61.5,Low,13.6,No,Yes,27.3,No,High
S044,17,Male,Rural,77.7,49.3,Low,12.8,No,No,37.9,No,High
S045,14,Male,Rural,47.5,70.8,High,6.3,Yes,Yes,31.6,No,Low
S046,15,Male,Rural,100.0,85.5,Medium,11.6,No,No,45.6,No,High
S047,18,Female,Urban,100.0,50.1,Low,12.4,No,Yes,48.6,No,High
S048,15,Male,Rural,65.0,73.7,Medium,13.4,Yes,Yes,46.5,No,Medium
S049,12,Male,Urban,41.3,42.0,High,8.4,No,No,28.1,No,High
S050,14,Female,Rural,61.8,80.5,Medium,3.5,No,No,25.8,No,Medium
S051,16,Female,Urban,72.3,71.2,Low,4.2,,Yes,34.2,No,Medium
S052,14,Male,Rural,,81.1,Low,4.8,No,Yes,20.2,No,Medium
S053,18,Male,Urban,74.0,63.2,Medium,9.1,Yes,No,20.8,No,Medium
S054,16,Female,Rural,72.2,58.5,Medium,1.0,Yes,Yes,36.6,No,Medium
S055,12,Female,Urban,76.9,77.2,Medium,9.7,Yes,Yes,35.6,No,Low
S056,18,Female,Urban,78.4,45.4,Low,5.8,Yes,No,49.8,No,Medium
S057,13,Female,Rural,60.5,38.9,High,4.8,Yes,Yes,26.1,No,Medium
S058,15,Female,Urban,62.2,64.9,Low,13.3,No,No,27.7,No,High
S059,12,Male,Rural,75.7,59.2,Low,7.2,No,Yes,23.4,No,Medium
S060,15,Female,Rural,65.5,73.3,Low,1.9,Yes,Yes,47.5,No,Medium
S061,17,Male,Rural,88.6,81.4,Low,12.5,No,Yes,43.3,Yes,High
S062,13,Male,Rural,75.5,73.0,Medium,1.2,No,Yes,44.7,No,Low
S063,13,Male,Rural,100.0,80.2,Medium,11.0,Yes,Yes,47.1,No,Low
S064,12,Female,Rural,87.3,69.8,Low,11.7,,Yes,35.7,No,Medium
S065,13,Male,Urban,91.6,72.4,Medium,5.6,Yes,No,33.5,No,Low
S066,16,Male,Rural,77.0,63.3,Low,12.5,No,Yes,29.9,Yes,High
S067,13,Female,Rural,77.4,72.0,Medium,8.0,Yes,Yes,37.7,No,Low
S068,15,Male,Rural,100.0,67.5,High,7.2,No,No,33.6,No,Low
S069,15,Male,Rural,69.3,69.9,Low,1.2,Yes,No,33.5,No,High
S070,18,Female,Rural,83.2,62.5,Medium,4.7,No,Yes,48.1,No,Low
S071,15,Male,Urban,71.0,77.1,Low,14.0,No,No,49.5,No,High
S072,18,Male,Rural,71.0,54.3,Low,6.2,No,Yes,43.9,No,High
S073,15,Male,Rural,57.5,64.7,Low,8.4,No,Yes,42.7,No,High
S074,16,Female,Rural,63.9,84.7,Medium,8.2,No,No,40.4,No,Medium
S075,18,Female,Rural,61.1,50.8,Medium,9.1,No,No,25.0,No,Medium
S076,14,Female,Urban,83.9,32.6,Low,1.4,No,Yes,21.8,No,Medium
S077,17,Male,Rural,90.6,70.5,Medium,5.8,No,Yes,40.7,Yes,Medium
S078,12,Male,Urban,73.6,61.1,Medium,11.0,No,No,41.9,No,High
S079,15,Female,Urban,78.4,80.2,Medium,3.4,Yes,Yes,21.4,No,Low
S080,13,Male,Rural,72.7,63.0,Medium,3.5,Yes,No,47.8,No,Low
S081,15,Male,Urban,62.8,55.9,Medium,0.6,Yes,Yes,22.7,No,Low
S082,13,Female,Rural,87.9,63.9,Low,6.8,Yes,No,28.6,No,Medium
S083,17,Female,Urban,84.8,81.4,Low,13.3,Yes,No,40.2,No,High
S084,17,Male,Rural,46.6,73.6,High,1.3,No,No,25.1,Yes,High
S085,17,Male,Urban,70.8,28.5,Low,3.3,No,No,21.7,No,High
S086,13,Male,Rural,61.8,67.8,High,5.0,No,No,29.9,No,Medium
S087,15,Female,Rural,69.1,68.5,Medium,11.1,Yes,Yes,43.0,No,Medium
S088,17,Female,Rural,64.9,64.7,Low,9.8,Yes,Yes,32.4,No,Low
S089,16,Female,Urban,74.3,55.8,Low,6.5,Yes,Yes,39.6,No,Medium
S090,18,Female,Urban,70.1,82.9,Low,11.5,Yes,No,37.4,No,Medium
S091,13,Male,Urban,69.7,83.7,High,9.3,Yes,No,20.7,Yes,Medium
S092,13,Female,Rural,91.6,32.0,Medium,13.5,Yes,Yes,49.7,Yes,High
S093,15,Female,Urban,83.4,53.0,Low,12.4,No,Yes,21.2,No,High
S094,13,Female,Rural,64.4,62.8,Low,4.2,No,Yes,49.0,No,High
S095,13,Female,Rural,66.7,79.2,Low,4.4,Yes,No,36.5,No,Medium
S096,17,Female,Rural,82.4,65.5,Medium,2.3,Yes,No,48.9,Yes,Medium
S097,15,Male,Urban,82.4,54.7,Low,5.4,Yes,No,23.4,No,Medium
S098,17,Male,Rural,65.9,75.6,Medium,15.0,Yes,No,34.7,No,Medium
S099,18,Female,Urban,71.5,61.8,Low,6.4,No,Yes,25.1,No,Low
S100,18,Male,Urban,100.0,63.2,Low,3.7,Yes,No,21.5,No,Low
S101,17,Female,Rural,66.2,64.6,Medium,11.6,Yes,Yes,38.5,Yes,Medium
S102,18,Female,Rural,100.0,73.6,Medium,8.4,Yes,Yes,26.2,No,Low
S103,15,Male,Rural,91.6,60.4,High,2.7,Yes,Yes,37.6,No,Low
S104,12,Male,Rural,100.0,75.3,Medium,6.0,Yes,Yes,23.4,No,Low
S105,17,Female,Rural,65.6,63.9,Low,6.5,No,No,30.0,No,Medium
S106,16,Female,Rural,72.5,49.0,Medium,11.4,No,Yes,43.4,No,High
S107,16,Female,Urban,68.3,64.4,Low,0.8,Yes,No,33.1,No,Medium
S108,13,Male,Rural,91.9,49.8,Low,4.4,Yes,No,38.8,No,Medium
S109,18,Female,Urban,66.5,65.6,High,8.0,Yes,No,39.4,No,Low
S110,16,Female,Urban,86.0,77.4,Medium,4.4,No,Yes,45.3,No,Low
S111,13,Female,Urban,85.2,48.9,High,9.6,Yes,No,29.7,No,Low
S112,12,Male,Urban,74.3,70.5,Medium,7.5,Yes,Yes,40.6,No,Low
S113,15,Female,Urban,94.5,52.6,Medium,5.7,Yes,No,48.8,No,Low
S114,15,Female,Rural,76.6,68.0,Low,14.3,Yes,No,41.9,No,Medium
S115,15,Male,Rural,87.5,77.9,Low,9.7,Yes,No,34.7,No,Medium
S116,16,Female,Urban,67.6,33.1,Medium,2.4,Yes,Yes,38.9,No,Medium
S117,12,Female,Urban,64.1,48.3,Low,8.6,Yes,No,42.2,No,High
S118,16,Male,Rural,86.0,59.5,Medium,11.8,No,Yes,38.4,No,Medium
S119,18,Female,Rural,81.5,69.7,Medium,10.8,Yes,Yes,20.5,No,Low
S120,16,Male,Rural,78.6,62.5,Low,3.0,No,Yes,25.8,No,Medium
S121,12,Male,Urban,69.8,64.3,Medium,14.6,Yes,Yes,44.3,Yes,High
S122,12,Female,Rural,98.2,95.6,Medium,7.0,No,Yes,28.2,No,Low
S123,18,Female,Rural,58.3,46.8,Low,2.8,No,No,41.9,No,High
S124,12,Female,Rural,57.4,82.0,Medium,3.1,Yes,No,31.2,Yes,Medium
S125,12,Female,Rural,89.1,59.8,Medium,1.9,No,Yes,35.7,Yes,Medium
S126,15,Male,Urban,87.9,73.2,Low,12.2,Yes,Yes,22.0,No,Medium
S127,18,Female,Rural,80.3,96.9,Medium,2.3,No,Yes,25.4,No,Low
S128,14,Male,Urban,70.7,75.3,High,2.3,Yes,Yes,48.7,No,Low
S129,14,Female,Rural,82.5,70.6,Low,12.8,Yes,Yes,46.7,No,Medium
S130,12,Female,Urban,100.0,89.0,Medium,5.5,Yes,No,39.6,No,Low
S131,14,Female,Rural,100.0,81.9,Low,0.9,No,Yes,33.8,No,Low
S132,14,Male,Rural,50.2,53.0,Medium,1.3,Yes,Yes,40.3,No,Medium
S133,12,Female,Urban,68.7,69.4,Medium,2.6,Yes,Yes,38.6,Yes,Medium
S134,14,Female,Urban,67.8,39.2,Low,3.6,No,No,37.1,No,High
S135,16,Female,Urban,99.4,56.9,Low,10.1,No,No,21.8,No,High
S136,13,Female,Urban,37.8,69.7,Medium,2.8,Yes,No,39.0,Yes,Medium
S137,18,Male,Urban,82.7,56.0,Medium,2.2,Yes,No,43.1,No,Medium
S138,13,Female,Rural,71.1,69.1,Medium,11.6,Yes,Yes,49.8,Yes,Medium
S139,12,Male,Urban,99.6,64.8,Low,10.2,Yes,Yes,20.3,No,Medium
S140,15,Male,Rural,97.5,73.0,High,6.8,Yes,No,41.9,No,Low
S141,18,Male,Urban,80.5,58.6,Medium,8.5,No,Yes,37.2,No,Low
S142,12,Male,Urban,51.3,50.9,High,5.0,Yes,No,33.0,No,High
S143,15,Male,Urban,66.4,87.2,Low,7.5,No,Yes,23.8,No,Medium
S144,13,Male,Rural,68.0,57.6,Medium,7.8,Yes,Yes,32.3,No,Medium
S145,12,Female,Rural,55.1,,Medium,6.1,Yes,No,30.6,No,Medium
S146,18,Male,Urban,92.3,86.5,Low,13.6,Yes,No,29.1,No,Medium
S147,18,Male,Rural,53.2,67.4,Medium,0.7,Yes,No,41.9,No,High
S148,17,Male,Urban,100.0,52.2,Low,11.8,No,Yes,41.0,No,High
S149,16,Female,Urban,100.0,62.3,Medium,2.3,No,No,37.7,No,Low
S150,14,Female,Rural,69.2,80.3,Medium,12.1,Yes,Yes,48.2,No,Medium
S151,15,Male,Urban,79.9,68.1,Low,9.4,No,Yes,30.5,Yes,High
S152,17,Female,Rural,73.9,46.9,Medium,12.7,No,Yes,27.3,Yes,High
S153,14,Male,Urban,88.5,73.9,Medium,1.9,Yes,Yes,39.7,No,Low
S154,14,Male,Urban,94.1,76.5,Low,8.6,No,Yes,26.0,No,Low
S155,12,Female,Rural,78.9,59.7,High,7.8,Yes,Yes,29.5,No,Low
S156,14,Male,Rural,82.0,74.2,High,10.7,Yes,Yes,26.7,No,Low
S157,16,Female,Urban,65.7,68.7,Medium,8.2,No,Yes,22.1,No,Low
S158,18,Female,Rural,81.6,62.0,Low,8.3,Yes,Yes,44.8,No,Low
S159,17,Male,Urban,77.4,45.6,Medium,6.7,Yes,Yes,27.6,No,Medium
S160,14,Male,Rural,61.3,81.2,Medium,5.0,No,Yes,34.2,No,Low
S161,12,Female,Rural,74.8,76.4,Low,7.5,Yes,No,21.3,No,Medium
S162,16,Male,Rural,69.3,73.8,Medium,2.2,Yes,Yes,41.0,No,Medium
S163,13,Male,Rural,65.9,88.2,Medium,14.4,No,Yes,29.9,No,Medium
S164,18,Male,Rural,57.8,79.2,Medium,10.9,Yes,Yes,42.3,No,High
S165,18,Female,Urban,75.9,75.3,Medium,14.3,Yes,No,32.4,No,Medium
S166,17,Female,Rural,63.3,31.8,Medium,3.8,No,No,25.9,No,Medium
S167,18,Male,Rural,67.9,83.0,High,13.3,Yes,No,35.4,No,Medium
S168,14,Female,Rural,91.1,66.2,Low,12.2,Yes,No,23.9,No,High
S169,12,Female,Rural,84.5,69.7,Medium,10.3,No,No,33.2,Yes,Medium
S170,18,Female,Rural,60.3,69.8,High,9.6,No,No,29.5,No,Medium
S171,18,Female,Urban,80.3,76.6,Medium,5.1,Yes,No,47.4,No,Low
S172,13,Female,Urban,77.0,81.8,Medium,12.3,No,Yes,21.8,No,Low
S173,13,Male,Rural,100.0,74.5,Medium,7.8,No,Yes,40.8,No,Low
S174,15,Male,Urban,95.7,72.1,Medium,1.5,Yes,Yes,25.5,No,Low
S175,16,Male,Urban,52.0,68.5,Medium,5.0,Yes,No,29.6,No,Medium
S176,14,Female,Rural,87.9,20.0,Medium,14.1,Yes,No,32.5,No,Low
S177,18,Female,Urban,94.0,60.7,High,12.8,No,No,47.2,No,Medium
S178,18,Male,Urban,83.4,50.9,Low,14.7,Yes,Yes,27.3,Yes,High
S179,12,Female,Rural,70.0,83.2,Low,9.6,Yes,Yes,22.7,No,Medium
S180,15,Male,Rural,100.0,74.3,Medium,4.1,No,Yes,29.6,No,Low
S181,16,Male,Urban,84.8,58.1,Low,2.9,No,Yes,23.1,No,Medium
S182,15,Male,Urban,100.0,59.6,Low,3.2,Yes,No,23.9,No,Low
S183,17,Female,Rural,95.3,59.1,Low,0.8,Yes,No,37.2,No,Medium
S184,16,Female,Urban,82.0,58.8,Low,6.2,Yes,Yes,21.8,No,Medium
S185,18,Male,Urban,66.3,43.3,Low,3.3,Yes,No,20.9,Yes,High
S186,18,Male,Urban,74.6,40.1,High,6.5,No,Yes,41.4,No,Medium
S187,16,Male,Urban,71.7,65.4,Low,14.1,No,No,30.8,No,High
S188,18,Male,Urban,56.8,81.1,Medium,6.7,Yes,Yes,23.8,No,Medium
S189,14,Female,Rural,84.8,56.9,Medium,13.2,Yes,Yes,27.6,No,High
S190,16,Female,Rural,98.5,69.6,High,9.3,No,Yes,39.3,No,Low
S191,15,Male,Urban,70.5,76.0,Low,4.1,Yes,Yes,28.3,No,Medium
S192,16,Male,Urban,100.0,50.1,High,5.7,Yes,Yes,34.8,No,Low
S193,18,Female,Rural,51.6,64.7,Medium,1.7,Yes,No,23.7,No,Medium
S194,14,Female,Urban,90.8,55.0,Medium,5.3,Yes,No,37.6,No,Medium
S195,14,Male,Urban,100.0,89.1,Medium,10.3,No,No,29.5,No,Medium
S196,17,Male,Rural,71.9,88.4,Medium,1.5,Yes,Yes,38.8,No,Low
S197,15,Male,Urban,72.2,50.1,Low,3.5,Yes,No,44.3,No,High
S198,13,Female,Urban,90.6,70.8,Medium,6.0,Yes,Yes,38.3,Yes,Low
S199,13,Female,Urban,82.6,81.0,Medium,14.7,No,Yes,28.9,No,Medium
S200,16,Female,Rural,45.0,77.7,Medium,11.9,Yes,No,27.7,No,High
S201,17,Male,Rural,62.3,66.2,High,11.1,Yes,No,29.8,Yes,High
S202,12,Male,Urban,74.8,84.6,Low,2.2,Yes,Yes,24.9,No,Medium
S203,16,Female,Rural,54.5,51.4,High,11.8,Yes,Yes,25.4,No,High
S204,17,Female,Rural,67.9,60.5,Low,11.9,Yes,No,43.7,No,High
S205,15,Male,Rural,54.8,51.8,Low,9.2,Yes,Yes,31.5,Yes,High
S206,15,Female,Rural,69.4,76.7,Low,14.9,Yes,Yes,33.1,No,Medium
S207,15,Female,Rural,70.0,56.3,Low,5.2,Yes,No,37.8,No,High
S208,15,Male,Rural,80.3,62.4,Medium,14.1,No,Yes,37.7,No,Medium
S209,15,Female,Rural,73.6,74.3,Low,13.8,Yes,Yes,22.0,No,Medium
S210,17,Male,Rural,82.5,75.5,Low,0.7,Yes,Yes,44.9,No,Medium
S211,17,Male,Urban,80.8,51.4,High,7.0,Yes,No,25.3,No,Low
S212,14,Male,Urban,90.5,80.8,Medium,14.7,No,No,41.7,No,Medium
S213,13,Male,Rural,88.1,71.8,Medium,2.0,Yes,No,43.2,No,Low
S214,18,Male,Urban,86.5,48.8,High,8.4,No,No,41.4,No,Medium
S215,15,Male,Rural,100.0,45.1,Medium,14.7,No,No,37.4,No,Medium
S216,12,Male,Urban,80.2,64.8,Low,8.6,Yes,Yes,20.4,No,Low
S217,18,Female,Urban,100.0,77.8,Low,3.3,No,Yes,30.8,Yes,High
S218,17,Male,Urban,81.2,78.1,Medium,8.9,Yes,No,38.1,No,Low
S219,12,Male,Urban,73.8,70.3,Low,3.5,Yes,No,31.6,No,High
S220,12,Female,Urban,69.4,65.7,Medium,8.0,No,No,45.9,No,Medium
S221,12,Female,Urban,97.6,72.7,Low,1.6,No,No,29.3,No,Medium
S222,14,Female,Rural,99.6,52.2,Low,9.3,Yes,Yes,28.8,No,Low
S223,17,Male,Rural,84.0,90.3,Medium,8.0,Yes,Yes,28.0,No,Low
S224,12,Female,Urban,92.0,90.1,Medium,11.2,Yes,Yes,30.0,No,Medium
S225,15,Male,Rural,55.8,71.4,Medium,9.6,No,Yes,36.7,No,Medium
S226,16,Male,Urban,51.8,68.0,Medium,8.5,Yes,Yes,41.2,No,Low
S227,12,Male,Rural,93.7,58.8,Low,10.5,Yes,No,39.9,No,High
S228,14,Male,Rural,73.1,72.9,Low,2.6,Yes,No,44.2,No,Medium
S229,18,Female,Rural,86.2,54.6,High,9.1,Yes,Yes,46.6,No,Low
S230,17,Female,Rural,64.2,31.6,Medium,3.0,No,No,44.5,No,High
S231,14,Male,Urban,99.9,24.3,Low,13.9,Yes,No,20.6,No,High
S232,12,Male,Rural,51.9,53.0,Medium,1.5,No,Yes,42.1,Yes,High
S233,17,Male,Rural,54.2,67.3,Low,6.7,Yes,No,26.3,No,High
S234,16,Female,Rural,96.7,70.0,Medium,10.6,No,No,24.0,No,Medium
S235,12,Male,Rural,35.9,57.7,Low,7.1,Yes,No,39.2,No,High
S236,14,Male,Urban,80.7,67.1,Medium,1.8,Yes,No,29.6,No,Low
S237,13,Female,Rural,73.4,60.9,Medium,8.5,Yes,No,21.7,No,Medium
S238,15,Female,Urban,64.0,50.0,Low,9.8,Yes,Yes,24.1,No,Medium
S239,18,Male,Urban,72.0,64.2,High,10.7,Yes,Yes,20.0,No,Low
S240,14,Female,Urban,62.3,77.2,Medium,5.9,No,Yes,47.1,No,Medium
S241,17,Female,Urban,98.1,50.7,Low,8.7,No,No,20.7,Yes,High
S242,12,Male,Urban,100.0,50.7,Low,7.0,Yes,Yes,26.3,Yes,High
S243,15,Female,Urban,64.7,49.0,Low,10.2,Yes,Yes,32.5,No,Medium
S244,12,Male,Rural,79.1,36.0,Low,9.0,Yes,No,30.7,Yes,High
S245,17,Female,Rural,55.1,57.8,Medium,8.1,Yes,No,47.4,No,Medium
S246,12,Male,Rural,91.1,75.7,Medium,4.1,No,No,21.2,No,Low
S247,13,Male,Rural,90.7,67.6,Medium,0.5,No,Yes,35.4,No,Low
S248,15,Male,Urban,70.6,62.5,Low,3.0,Yes,Yes,40.4,No,Medium
S249,15,Female,Urban,75.3,,Low,2.2,Yes,Yes,48.0,No,Medium
S250,17,Male,Rural,73.6,57.7,Low,7.0,Yes,Yes,38.6,No,Medium
S251,18,Female,Rural,50.7,,Medium,9.4,No,Yes,44.1,No,High
S252,13,Male,Rural,98.2,76.8,Medium,3.6,Yes,No,22.5,No,Low
S253,14,Male,Urban,63.5,81.1,Low,14.1,No,No,31.6,No,High
S254,12,Female,Urban,63.6,54.1,Medium,0.6,No,Yes,31.2,No,Medium
S255,16,Male,Rural,72.7,62.7,High,11.7,Yes,No,46.6,No,High
S256,12,Male,Urban,89.9,61.4,Medium,9.6,No,No,24.5,Yes,High
S257,12,Female,Urban,66.1,70.3,Medium,5.9,Yes,Yes,24.6,No,Low
S258,14,Male,Rural,45.7,90.3,Medium,1.2,No,No,29.9,No,Medium
S259,12,Male,Urban,61.7,82.4,Medium,9.6,Yes,Yes,21.6,No,Low
S260,13,Male,Urban,81.4,59.3,Medium,6.1,Yes,Yes,25.5,No,Low
S261,13,Male,Rural,100.0,73.1,Medium,14.1,No,No,49.0,No,Medium
S262,15,Female,Rural,56.1,83.8,Low,8.4,No,Yes,32.8,No,High
S263,17,Female,Rural,55.6,71.1,Low,14.1,No,No,39.0,No,High
S264,18,Male,Rural,52.3,64.9,Low,3.7,Yes,Yes,41.8,No,High
S265,16,Female,Urban,50.4,71.7,Medium,11.0,No,No,31.0,No,High
S266,12,Male,Urban,93.1,54.5,Low,9.5,Yes,Yes,24.4,No,Medium
S267,12,Female,Rural,97.4,56.6,High,11.2,No,Yes,26.2,No,Medium
S268,14,Male,Rural,77.7,49.0,Medium,3.6,Yes,Yes,29.4,No,Low
S269,17,Male,Rural,68.0,69.6,Medium,10.1,No,No,39.1,No,Medium
S270,13,Male,Rural,100.0,63.0,Low,7.7,No,No,31.9,Yes,High
S271,16,Male,Urban,77.6,52.7,High,11.3,No,No,20.2,No,High
S272,15,Male,Rural,91.3,62.5,Medium,5.2,Yes,No,35.7,No,Low
S273,13,Male,Rural,67.3,72.0,Medium,13.4,Yes,No,47.6,No,Medium
S274,17,Female,Rural,75.7,93.7,Low,1.7,No,No,44.4,No,Medium
S275,18,Male,Urban,56.4,80.2,Medium,12.2,Yes,No,44.8,No,High
S276,15,Female,Rural,84.4,30.7,Low,13.0,No,No,43.9,No,High
S277,18,Male,Urban,77.9,68.6,Low,12.4,Yes,No,29.7,No,Medium
S278,14,Female,Rural,61.6,86.4,Medium,7.9,Yes,No,43.0,No,Medium
S279,14,Female,Urban,61.8,44.9,Medium,6.9,No,Yes,24.3,No,Medium
S280,12,Female,Urban,99.2,73.3,Medium,14.9,Yes,No,39.7,No,Low
S281,18,Male,Rural,100.0,61.5,High,3.8,Yes,No,39.2,No,Low
S282,17,Male,Rural,71.8,82.3,Medium,8.4,Yes,Yes,20.8,No,Low
S283,16,Female,Urban,76.0,71.1,Medium,10.2,Yes,Yes,43.6,No,Medium
S284,15,Male,Urban,81.0,51.7,Low,10.7,No,Yes,47.1,No,High
S285,13,Female,Rural,77.2,62.0,High,3.5,Yes,No,28.0,No,Low
S286,17,Male,Rural,49.9,62.9,Low,10.0,No,No,44.4,No,High
S287,17,Female,Urban,81.4,63.2,High,12.4,No,Yes,22.5,No,Medium
S288,14,Female,Urban,43.7,81.8,Medium,1.2,Yes,No,38.0,No,Medium
S289,18,Male,Rural,64.0,52.4,Low,13.7,No,No,34.6,No,High
S290,12,Female,Urban,82.6,80.0,Medium,0.9,Yes,Yes,36.4,No,Low
S291,12,Male,Rural,84.0,60.5,High,5.7,Yes,No,47.8,No,Low
S292,15,Female,Urban,62.8,68.4,Medium,0.7,No,No,46.1,No,Medium
S293,14,Female,Rural,68.1,66.1,High,1.6,Yes,No,43.6,Yes,High
S294,17,Male,Rural,66.1,64.7,High,13.7,Yes,No,28.2,No,Medium
S295,16,Male,Rural,73.5,64.8,Medium,5.6,Yes,No,47.4,Yes,High
S296,14,Male,Urban,74.6,86.9,Low,6.7,Yes,No,22.9,No,Medium
S297,15,Female,Rural,85.0,77.6,High,3.6,Yes,Yes,45.6,No,Low
S298,15,Male,Rural,67.2,59.6,Medium,9.2,No,No,29.8,No,Medium
S299,14,Female,Rural,80.6,88.7,Low,9.1,Yes,No,21.6,Yes,Medium
S300,15,Female,Rural,82.6,69.1,Low,5.9,Yes,No,40.1,No,Medium
S301,14,Male,Urban,78.0,70.4,Medium,5.3,Yes,Yes,26.9,No,Low
S302,13,Male,Rural,71.1,52.4,High,13.3,Yes,No,27.3,No,Medium
S303,14,Female,Urban,77.7,57.5,Medium,6.1,Yes,Yes,29.2,Yes,High
S304,18,Female,Urban,86.3,54.7,Medium,7.7,Yes,No,21.9,No,Medium
S305,14,Male,Rural,87.6,66.3,Low,4.6,Yes,Yes,25.3,No,Low
S306,15,Male,Rural,100.0,74.6,Low,11.9,Yes,Yes,20.2,No,Medium
S307,18,Male,Rural,60.1,70.5,High,6.3,Yes,Yes,33.4,No,Medium
S308,15,Male,Rural,68.4,88.8,Low,7.9,Yes,Yes,22.5,No,Medium
S309,12,Male,Rural,50.8,51.7,Low,4.2,No,No,40.5,No,High
S310,12,Female,Rural,89.0,66.7,Low,14.8,No,No,27.1,Yes,High
S311,18,Female,Urban,70.0,45.8,Medium,4.7,Yes,No,48.3,No,Medium
S312,13,Female,Rural,78.1,51.2,High,11.7,No,Yes,46.1,No,Medium
S313,12,Female,Rural,65.9,84.0,Low,6.7,No,Yes,28.7,No,Medium
S314,14,Male,Urban,70.1,58.1,Medium,3.5,Yes,No,43.5,Yes,High
S315,15,Male,Rural,93.3,52.9,Medium,12.1,Yes,No,44.1,No,Medium
S316,12,Male,Urban,85.4,33.1,High,5.3,No,No,49.6,No,Medium
S317,12,Female,Urban,73.3,52.8,Low,13.0,No,No,37.9,No,High
S318,13,Female,Rural,86.5,61.9,Medium,13.8,,Yes,22.5,No,Low
S319,18,Male,Urban,86.8,44.6,Low,13.0,No,No,39.4,No,Medium
S320,18,Male,Rural,69.1,61.1,High,1.0,Yes,No,38.7,No,Low
S321,17,Female,Rural,53.0,84.1,Medium,11.9,No,Yes,39.2,No,High
S322,13,Female,Rural,61.5,54.4,Low,6.5,No,Yes,29.2,No,Medium
